Province,Year,Annual_Mean_Temp,Annual_Max_Temp,Annual_Min_Temp,Station_Count
ON,2004,5.71,34.5,-35.5,228
ON,2005,6.58,37.5,-35.8,230
ON,2006,7.38,37.8,-28.8,225
ON,2007,6.2,37.5,-35.5,184
ON,2008,5.66,35.0,-35.6,177
ON,2009,5.33,35.0,-35.5,175
ON,2010,7.3,38.0,-31.1,181
ON,2011,6.46,45.0,-34.9,191
ON,2012,7.87,38.5,-29.5,188
ON,2013,5.67,36.0,-36.6,183
ON,2014,4.39,34.7,-39.8,171
ON,2015,6.1,35.2,-37.7,162
ON,2016,6.91,36.5,-33.6,157
ON,2017,6.55,35.5,-33.1,147
ON,2018,5.7,37.5,-36.7,147
ON,2019,5.23,36.5,-37.0,146
ON,2020,6.59,37.5,-32.2,144
ON,2021,7.28,38.0,-33.1,144
ON,2022,5.66,36.4,-38.1,139
ON,2023,7.28,38.0,-30.4,131
ON,2024,0.94,34.3,-32.7,123
PE,1950,5.73,31.1,-26.7,6
PE,1951,6.63,32.8,-25.0,6
PE,1952,6.61,33.3,-22.2,7
PE,1953,7.01,31.7,-20.0,6
PE,1954,6.42,30.6,-24.4,6
PE,1955,5.91,33.3,-25.6,6
PE,1956,5.61,29.4,-22.2,6
PE,1957,5.67,31.7,-28.3,5
PE,1958,5.68,28.3,-21.1,6
PE,1959,5.89,30.0,-23.9,6
PE,1960,6.33,35.0,-24.4,8
PE,1961,5.85,31.1,-28.3,10
PE,1962,4.81,31.1,-29.4,11
PE,1963,4.52,33.3,-30.0,11
PE,1964,5.45,29.4,-26.1,10
PE,1965,4.66,32.2,-26.7,10
PE,1966,6.53,30.0,-24.4,9
PE,1967,5.46,31.7,-28.9,11
PE,1968,5.1,31.1,-27.2,11
PE,1969,6.2,30.6,-23.3,12
PE,1970,5.11,32.8,-27.2,13
PE,1971,5.19,30.6,-29.4,17
PE,1972,4.24,31.7,-30.0,17
PE,1973,5.93,31.7,-28.3,17
PE,1974,4.76,31.1,-27.8,17
PE,1975,5.43,33.9,-27.8,17
PE,1976,5.38,35.0,-30.0,17
PE,1977,5.53,36.1,-27.8,17
PE,1978,4.73,32.8,-26.1,16
PE,1979,6.35,32.0,-24.0,15
PE,1980,4.75,32.0,-28.5,15
PE,1981,6.82,32.5,-24.5,16
PE,1982,5.39,33.0,-29.0,17
PE,1983,6.32,31.0,-24.0,16
PE,1984,5.95,33.0,-28.0,17
PE,1985,4.57,31.5,-29.5,16
PE,1986,4.75,31.5,-27.0,16
PE,1987,5.03,33.5,-27.5,16
PE,1988,5.47,33.5,-29.5,15
PE,1989,5.01,32.0,-27.0,15
PE,1990,6.45,31.5,-27.5,16
PE,1991,5.68,33.5,-28.5,17
PE,1992,4.62,32.3,-29.5,17
PE,1993,4.41,30.0,-32.3,18
PE,1994,5.71,31.5,-32.5,18
PE,1995,5.62,33.6,-27.5,17
PE,1996,5.93,32.2,-26.5,17
PE,1997,4.9,31.0,-28.0,17
PE,1998,6.76,33.0,-24.5,16
PE,1999,7.52,33.0,-25.0,17
PE,2000,6.0,31.0,-26.0,19
PE,2001,6.38,34.5,-27.0,19
PE,2002,5.62,35.0,-24.0,19
PE,2003,5.99,33.0,-29.0,19
PE,2004,5.04,31.2,-28.8,18
PE,2005,6.22,31.0,-25.5,14
PE,2006,7.33,31.7,-22.9,14
PE,2007,5.72,33.0,-22.7,13
PE,2008,6.35,30.5,-25.5,10
PE,2009,5.87,32.0,-28.5,10
PE,2010,7.83,33.2,-19.6,9
PE,2011,6.55,30.0,-25.1,10
PE,2012,7.36,30.5,-24.0,11
PE,2013,6.07,33.7,-24.4,11
PE,2014,6.4,31.2,-26.7,10
PE,2015,5.81,31.5,-28.5,10
PE,2016,6.34,30.0,-21.0,9
PE,2017,6.87,29.4,-25.0,8
PE,2018,6.99,31.8,-21.0,10
PE,2019,5.95,31.7,-23.8,10
PE,2020,6.54,33.0,-25.0,10
PE,2021,7.94,32.9,-21.8,10
PE,2022,7.53,32.9,-26.2,10
PE,2023,7.22,32.9,-24.6,10
PE,2024,3.4,32.0,-23.4,9
QC,1950,2.77,35.0,-40.6,157
QC,1951,3.57,35.0,-38.9,171
QC,1952,4.08,36.7,-36.7,178
QC,1953,4.61,37.8,-35.0,182
QC,1954,3.02,35.6,-38.9,182
QC,1955,3.36,37.8,-41.1,183
QC,1956,2.2,37.8,-38.3,181
QC,1957,3.48,35.6,-40.0,194
QC,1958,2.84,35.0,-38.3,205
QC,1959,3.03,36.1,-42.8,201
QC,1960,3.71,35.6,-37.2,214
QC,1961,3.49,35.0,-40.0,205
QC,1962,2.43,35.6,-42.2,203
QC,1963,2.75,36.1,-41.7,296
QC,1964,3.3,36.1,-37.2,310
QC,1965,2.57,34.4,-38.9,328
QC,1966,3.75,35.6,-35.0,345
QC,1967,2.86,36.7,-41.1,357
QC,1968,3.09,35.6,-40.0,364
QC,1969,3.66,34.4,-34.4,357
QC,1970,3.09,35.6,-41.7,359
QC,1971,3.24,35.6,-40.0,378
QC,1972,1.91,35.0,-42.8,387
QC,1973,4.75,35.6,-37.2,477
QC,1974,3.0,35.6,-38.9,475
QC,1975,4.12,40.0,-40.0,466
QC,1976,2.96,37.8,-42.2,454
QC,1977,4.14,40.0,-36.2,455
QC,1978,3.0,38.9,-40.3,459
QC,1979,4.46,35.0,-37.6,451
QC,1980,2.97,34.0,-39.7,458
QC,1981,4.69,37.0,-34.9,450
QC,1982,3.17,36.0,-40.6,444
QC,1983,4.3,38.0,-36.5,420
QC,1984,3.88,36.0,-39.1,417
QC,1985,2.78,33.5,-40.0,410
QC,1986,3.11,33.0,-38.6,366
QC,1987,4.23,36.5,-37.0,362
QC,1988,3.72,38.0,-39.6,361
QC,1989,2.72,36.5,-44.6,359
QC,1990,4.34,35.5,-37.1,352
QC,1991,3.58,36.0,-40.4,350
QC,1992,2.64,35.5,-40.3,296
QC,1993,2.87,35.5,-42.0,306
QC,1994,2.59,38.5,-43.0,315
QC,1995,3.61,36.5,-39.3,264
QC,1996,3.65,34.5,-38.6,266
QC,1997,2.79,36.0,-40.2,264
QC,1998,6.07,36.0,-32.6,262
QC,1999,5.17,40.0,-36.3,255
QC,2000,3.95,31.9,-36.3,256
QC,2001,5.33,37.0,-34.8,262
QC,2002,4.05,38.4,-36.3,265
QC,2003,3.48,36.5,-41.2,235
QC,2004,3.4,38.9,-39.5,288
QC,2005,4.54,39.0,-38.5,232
QC,2006,5.59,36.0,-31.7,230
QC,2007,3.83,39.1,-38.6,229
QC,2008,4.13,39.1,-38.6,233
QC,2009,4.02,33.7,-37.7,228
QC,2010,6.07,37.0,-30.0,227
QC,2011,4.97,36.0,-35.9,225
QC,2012,5.62,36.0,-34.3,225
QC,2013,4.44,38.6,-37.2,226
QC,2014,3.8,34.2,-40.5,220
QC,2015,3.74,34.2,-42.3,214
QC,2016,5.15,34.5,-37.0,202
QC,2017,5.64,34.3,-35.4,190
QC,2018,2.59,37.2,-40.5,188
QC,2019,2.93,35.2,-39.8,182
QC,2020,5.39,37.4,-33.9,181
QC,2021,5.35,35.3,-34.5,178
QC,2022,4.37,34.0,-39.4,174
QC,2023,5.54,36.2,-34.4,170
QC,2024,-3.53,27.4,-35.4,164
SK,1950,0.12,37.8,-50.0,90
SK,1951,0.29,39.4,-45.6,98
SK,1952,3.08,40.6,-40.6,107
SK,1953,3.82,42.2,-37.8,116
SK,1954,2.7,36.7,-41.1,127
SK,1955,0.82,37.2,-47.3,125
SK,1956,1.57,37.8,-45.0,141
SK,1957,2.23,38.9,-42.8,149
SK,1958,2.92,41.7,-39.4,155
SK,1959,2.16,39.4,-41.1,164
SK,1960,2.28,40.6,-42.8,167
SK,1961,3.04,43.3,-42.2,178
SK,1962,2.71,37.2,-43.9,178
SK,1963,3.33,39.4,-44.4,183
SK,1964,1.95,41.7,-43.9,185
SK,1965,0.54,38.9,-47.2,183
SK,1966,0.79,39.4,-48.3,192
SK,1967,1.33,38.9,-45.6,195
SK,1968,2.26,38.3,-41.7,188
SK,1969,1.21,41.7,-46.1,180
SK,1970,1.24,39.4,-47.2,187
SK,1971,1.61,40.6,-45.6,193
SK,1972,0.41,40.0,-49.4,191
SK,1973,2.89,39.4,-40.6,205
SK,1974,1.82,37.2,-42.8,202
SK,1975,1.46,39.4,-44.4,198
SK,1976,2.92,38.9,-42.8,192
SK,1977,2.94,37.2,-42.7,195
SK,1978,1.45,38.3,-47.3,198
SK,1979,1.13,40.0,-47.0,198
SK,1980,2.65,40.0,-43.9,197
SK,1981,4.7,40.5,-35.8,205
SK,1982,0.42,35.5,-49.0,203
SK,1983,2.39,41.5,-42.8,205
SK,1984,2.66,43.0,-42.5,213
SK,1985,1.34,40.0,-45.0,216
SK,1986,3.43,37.0,-37.5,211
SK,1987,5.17,40.5,-31.8,210
SK,1988,3.49,42.0,-43.3,204
SK,1989,1.93,40.5,-47.0,208
SK,1990,2.86,39.5,-43.0,202
SK,1991,3.24,39.0,-42.0,199
SK,1992,3.23,37.5,-36.8,222
SK,1993,2.26,36.5,-39.5,217
SK,1994,2.31,37.5,-44.5,210
SK,1995,1.81,39.5,-42.5,200
SK,1996,-0.15,38.8,-50.0,196
SK,1997,2.93,39.3,-42.2,186
SK,1998,3.91,40.0,-39.2,175
SK,1999,3.61,38.0,-36.5,172
SK,2000,2.06,38.0,-43.8,169
SK,2001,3.72,40.5,-38.8,160
SK,2002,1.78,41.0,-42.7,158
SK,2003,2.65,41.0,-45.3,154
SK,2004,2.06,37.0,-40.9,150
SK,2005,3.04,39.5,-39.6,152
SK,2006,3.69,38.2,-37.2,138
SK,2007,3.14,43.0,-41.6,131
SK,2008,1.01,39.5,-46.5,126
SK,2009,1.18,38.5,-45.6,106
SK,2010,2.72,36.8,-39.6,102
SK,2011,2.45,36.9,-43.0,104
SK,2012,3.01,37.0,-40.0,100
SK,2013,1.16,36.5,-47.0,93
SK,2014,1.16,38.0,-46.0,87
SK,2015,3.53,39.7,-40.0,81
SK,2016,3.62,36.3,-37.5,83
SK,2017,3.2,39.0,-40.8,80
SK,2018,1.09,42.3,-44.9,75
SK,2019,0.96,38.0,-46.1,70
SK,2020,2.06,38.0,-41.5,69
SK,2021,2.8,41.0,-44.6,68
SK,2022,1.5,39.2,-48.0,66
SK,2023,3.52,39.5,-40.2,63
SK,2024,-5.1,38.4,-44.5,62
YT,1950,-4.48,35.0,-55.6,8
YT,1951,-5.49,35.6,-52.2,11
YT,1952,-2.71,29.4,-52.2,11
YT,1953,-3.06,32.2,-52.2,10
YT,1954,-3.62,28.9,-52.2,11
YT,1955,-5.28,31.1,-55.6,12
YT,1956,-4.96,30.0,-51.7,11
YT,1957,-2.98,30.6,-51.7,11
YT,1958,-2.93,33.3,-48.3,13
YT,1959,-4.86,28.9,-51.7,17
YT,1960,-3.55,31.1,-46.7,16
YT,1961,-5.8,31.7,-54.4,15
YT,1962,-3.97,31.1,-52.2,16
YT,1963,-3.9,30.0,-51.7,19
YT,1964,-4.63,28.3,-55.6,18
YT,1965,-3.87,33.9,-54.4,16
YT,1966,-5.14,31.1,-56.7,22
YT,1967,-3.96,30.6,-50.0,22
YT,1968,-3.92,29.5,-53.9,26
YT,1969,-4.15,36.1,-53.9,27
YT,1970,-3.65,30.0,-50.0,30
YT,1971,-4.94,33.3,-58.3,35
YT,1972,-6.15,31.7,-56.7,33
YT,1973,-5.1,30.0,-55.0,35
YT,1974,-3.39,29.4,-53.3,48
YT,1975,-4.59,33.9,-56.7,41
YT,1976,-1.53,33.3,-48.9,48
YT,1977,-2.22,32.5,-48.9,45
YT,1978,-1.77,32.8,-47.8,41
YT,1979,-3.58,30.1,-55.0,36
YT,1980,-3.35,33.5,-54.0,40
YT,1981,-1.76,30.5,-44.5,41
YT,1982,-5.3,31.0,-58.5,45
YT,1983,-4.56,36.0,-54.5,44
YT,1984,-3.16,31.4,-50.0,45
YT,1985,-3.66,29.8,-49.6,44
YT,1986,-2.89,32.0,-48.0,44
YT,1987,-1.98,31.5,-46.0,42
YT,1988,-2.3,31.8,-48.0,44
YT,1989,-2.98,34.0,-54.0,46
YT,1990,-3.75,33.0,-56.0,43
YT,1991,-2.81,31.0,-49.0,43
YT,1992,-3.25,33.0,-48.0,44
YT,1993,-1.66,30.2,-47.6,46
YT,1994,-2.99,33.9,-50.5,48
YT,1995,-3.31,32.5,-53.0,51
YT,1996,-6.04,31.5,-55.0,46
YT,1997,-2.89,31.7,-51.0,47
YT,1998,-2.69,35.0,-50.0,48
YT,1999,-3.96,33.5,-53.0,48
YT,2000,-3.27,30.0,-47.0,47
YT,2001,-3.65,32.5,-48.5,47
YT,2002,-3.46,31.0,-46.9,46
YT,2003,-3.79,32.0,-48.8,45
YT,2004,-3.7,36.5,-53.5,44
YT,2005,-2.16,31.0,-48.0,43
YT,2006,-4.04,35.0,-49.5,43
YT,2007,-3.98,31.5,-51.5,42
YT,2008,-4.13,30.0,-54.0,37
YT,2009,-3.61,38.0,-51.5,33
YT,2010,-2.0,33.0,-46.2,34
YT,2011,-3.73,30.0,-50.0,34
YT,2012,-4.4,32.7,-51.4,35
YT,2013,-3.24,34.5,-51.0,31
YT,2014,-3.41,31.2,-47.0,29
YT,2015,-3.47,30.5,-48.7,27
YT,2016,-2.2,30.5,-43.7,20
YT,2017,-2.77,31.8,-47.8,21
YT,2018,-3.57,31.7,-47.7,19
YT,2019,-1.82,31.3,-45.1,20
YT,2020,-4.38,30.3,-49.8,20
YT,2021,-4.45,32.5,-49.4,21
YT,2022,-3.65,32.3,-52.2,20
YT,2023,-1.51,35.5,-44.6,20
YT,2024,-9.09,31.0,-51.5,19
